Department,EducationField,JobRole,MaritalStatus,Gender,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsWithCurrManager,JobLevel,DistanceFromHome,Age
Research & Development,Life Sciences,Manufacturing Director,Single,Male,9679,8,1,0,2,5,32
Sales,Marketing,Sales Executive,Married,Male,5617,10,10,8,2,26,31
Sales,Life Sciences,Sales Executive,Single,Male,10448,15,2,2,3,24,53
Research & Development,Life Sciences,Research Scientist,Married,Female,2897,9,4,3,2,9,54
Research & Development,Life Sciences,Healthcare Representative,Divorced,Male,5968,9,9,8,2,7,33
Research & Development,Life Sciences,Healthcare Representative,Married,Male,7510,10,10,9,3,11,43
Human Resources,Other,Human Resources,Married,Male,2991,7,6,2,1,1,38
Human Resources,Human Resources,Manager,Married,Male,19636,35,10,4,5,26,55
Research & Development,Medical,Laboratory Technician,Divorced,Female,1129,1,1,0,1,2,31
Sales,Marketing,Sales Executive,Single,Male,13341,21,20,10,4,15,39
Research & Development,Life Sciences,Research Scientist,Single,Male,4332,20,20,7,2,23,42
Research & Development,Medical,Research Director,Married,Female,11031,13,11,8,3,10,31
Research & Development,Medical,Manufacturing Director,Single,Female,4440,9,5,4,2,10,54
Research & Development,Life Sciences,Healthcare Representative,Single,Male,4617,4,4,2,2,1,24
Research & Development,Other,Laboratory Technician,Single,Male,2647,5,5,4,1,12,23
Research & Development,Technical Degree,Laboratory Technician,Married,Female,6323,10,10,4,2,11,40
Sales,Marketing,Sales Executive,Married,Female,5677,15,11,10,2,2,40
Human Resources,Human Resources,Human Resources,Married,Female,2187,6,2,2,1,2,25
Research & Development,Medical,Laboratory Technician,Married,Male,3748,12,12,7,1,1,30
Research & Development,Other,Laboratory Technician,Divorced,Male,3977,7,2,2,1,2,25
Research & Development,Medical,Healthcare Representative,Single,Male,8633,25,17,11,3,25,47
Research & Development,Medical,Laboratory Technician,Divorced,Male,2008,1,1,0,1,1,33
Sales,Life Sciences,Sales Executive,Married,Male,4440,16,15,8,2,1,38
Sales,Life Sciences,Sales Representative,Married,Male,3067,3,2,2,1,2,31
Research & Development,Life Sciences,Manufacturing Director,Married,Male,5321,10,8,7,2,6,38
Research & Development,Life Sciences,Research Scientist,Divorced,Male,5410,9,4,2,2,18,42
Research & Development,Life Sciences,Research Scientist,Married,Male,2782,12,5,0,1,1,41
Research & Development,Medical,Research Director,Married,Female,11957,14,13,12,3,1,47
Research & Development,Medical,Laboratory Technician,Married,Male,2660,5,2,2,1,11,35
Research & Development,Life Sciences,Research Scientist,Single,Male,3375,4,3,2,1,1,22
Research & Development,Medical,Research Scientist,Single,Male,5098,10,10,8,2,9,35
Research & Development,Medical,Healthcare Representative,Married,Female,4878,10,9,1,2,15,33
Research & Development,Life Sciences,Laboratory Technician,Single,Female,2837,6,6,1,1,29,32
Research & Development,Life Sciences,Laboratory Technician,Married,Male,2406,8,1,0,1,1,40
Sales,Medical,Sales Representative,Married,Male,2269,3,2,2,1,1,32
Research & Development,Life Sciences,Research Scientist,Single,Male,4108,18,7,7,2,24,39
Research & Development,Medical,Research Director,Married,Female,13206,20,18,11,3,10,38
Sales,Marketing,Sales Executive,Married,Female,10422,14,14,7,3,1,32
Research & Development,Life Sciences,Research Director,Married,Female,13744,16,16,8,3,10,37
Sales,Other,Sales Executive,Divorced,Female,4907,6,5,4,2,8,25
Sales,Life Sciences,Sales Representative,Divorced,Male,3482,16,9,0,1,29,52
Research & Development,Medical,Research Scientist,Single,Male,2436,6,4,2,1,1,44
Sales,Medical,Sales Representative,Single,Male,2380,2,2,2,1,5,21
Research & Development,Life Sciences,Manager,Single,Male,19431,21,6,3,5,9,39
Sales,Marketing,Sales Representative,Married,Male,1790,1,1,0,1,9,23
Sales,Medical,Sales Executive,Married,Female,7644,10,9,4,3,3,36
Research & Development,Life Sciences,Manufacturing Director,Divorced,Female,5131,18,4,2,2,4,36
Research & Development,Life Sciences,Healthcare Representative,Divorced,Male,6306,13,13,9,2,1,56
Research & Development,Medical,Research Scientist,Married,Male,4787,4,2,2,1,1,29
Research & Development,Life Sciences,Manager,Married,Male,18880,24,22,14,5,2,42
Research & Development,Technical Degree,Laboratory Technician,Married,Male,2339,14,10,8,1,7,56
Research & Development,Life Sciences,Manufacturing Director,Married,Female,13570,21,20,10,4,28,41
Sales,Marketing,Sales Executive,Married,Female,6712,8,8,7,2,28,34
Sales,Marketing,Sales Executive,Divorced,Male,5406,15,15,11,2,15,36
Sales,Life Sciences,Sales Executive,Divorced,Male,8938,14,5,4,2,3,41
Research & Development,Technical Degree,Research Scientist,Single,Male,2439,4,4,2,1,2,32
Human Resources,Life Sciences,Human Resources,Single,Female,8837,9,9,7,3,26,35
Sales,Life Sciences,Sales Executive,Married,Female,5343,10,10,9,2,10,38
Sales,Life Sciences,Sales Executive,Divorced,Male,6728,12,6,1,2,1,50
Sales,Marketing,Sales Executive,Married,Female,6652,8,6,0,2,11,36
Sales,Life Sciences,Sales Executive,Single,Female,4850,8,5,1,2,20,45
Research & Development,Life Sciences,Research Scientist,Single,Male,2809,8,2,2,1,2,40
Research & Development,Life Sciences,Healthcare Representative,Married,Male,5689,10,10,2,2,18,35
Research & Development,Medical,Research Scientist,Married,Female,2001,20,5,2,1,2,40
Research & Development,Life Sciences,Research Scientist,Married,Female,2977,4,4,1,1,1,35
Research & Development,Other,Laboratory Technician,Married,Male,4025,10,4,3,2,13,29
Research & Development,Medical,Research Scientist,Single,Female,3785,5,5,4,1,28,29
Sales,Marketing,Sales Executive,Divorced,Male,10854,20,3,0,3,28,50
Sales,Marketing,Sales Executive,Married,Female,12031,21,20,6,4,24,39
Research & Development,Medical,Manufacturing Director,Single,Male,9936,10,9,7,2,5,31
Sales,Other,Sales Representative,Single,Female,2966,5,4,0,1,5,26
Research & Development,Medical,Laboratory Technician,Married,Male,2571,17,5,3,2,23,36
Research & Development,Medical,Healthcare Representative,Married,Male,9991,9,7,7,3,6,39
Research & Development,Life Sciences,Manufacturing Director,Married,Male,6142,6,6,3,2,4,27
Sales,Medical,Sales Executive,Married,Male,5390,17,9,8,2,2,49
Research & Development,Medical,Laboratory Technician,Married,Male,4404,6,4,2,2,8,34
